link_id_tmc,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0600_0615,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,73,,20,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0615_0630,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,67,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0630_0645,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,69,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0645_0700,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,68,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0700_0715,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,67,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0715_0730,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,63,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0730_0745,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,67,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0745_0800,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,69,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0800_0815,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,69,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0815_0830,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,72,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0830_0845,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,66,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0845_0900,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,65,,0,,
0,AZ-101-LOOP_CLOCKWISE,29,100000001,100000002,0900_0600,2019/1/1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",1800,,66,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0600_0615,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,67,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0615_0630,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,67,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0630_0645,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,68,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0645_0700,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,68,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0700_0715,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,67,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0715_0730,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,63,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0730_0745,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,67,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0745_0800,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,68,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0800_0815,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,69,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0815_0830,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,72,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0830_0845,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,66,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0845_0900,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,65,,0,,
1,AZ-101-LOOP_CLOCKWISE,30,100000002,100000003,0900_0600,2019/1/1,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1800,,65,,0,,
2,AZ-101-LOOP_CLOCKWISE,31,100000003,100000004,0600_0615,2019/1/1,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1800,,66,,0,,
2,AZ-101-LOOP_CLOCKWISE,31,100000003,100000004,0615_0630,2019/1/1,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1800,,66,,0,,
2,AZ-101-LOOP_CLOCKWISE,31,100000003,100000004,0630_0645,2019/1/1,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1800,,68,,0,,
2,AZ-101-LOOP_CLOCKWISE,31,100000003,100000004,0645_0700,2019/1/1,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1800,,68,,0,,
2,AZ-101-LOOP_CLOCKWISE,31,100000003,100000004,0700_0715,2019/1/1,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1800,,67,,0,,
2,AZ-101-LOOP_CLOCKWISE,31,100000003,100000004,0715_0730,2019/1/1,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1800,,59,,0,,
2,AZ-101-LOOP_CLOCKWISE,31,100000003,100000004,0730_0745,2019/1/1,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",1800,,66,,0,,
